course_id,course_name,credits,theoretical_credits,practical_credits,stage,optional_11,optional_28,compulsory_for_specific_11,course_group
CSC00004,Nhập môn Công nghệ Thông tin,4,3,1,1,NO,BB,NO,Lập trình
MTH00055,Cơ sở lập trình,4,3,1,1,BB,NO,"110101, 110102, 110103, 110104, 110205, 110206, 110207, 110208, 110309, 110310, 110311",Lập trình
CSC10001,Nhập môn lập trình,4,3,1,1,NO,BB,NO,Lập trình
MTH00081,Thực hành Vi tích phân 1B,1,0,1,1,NO,BB,NO,Lập trình
MTH00082,Thực hành Vi tích phân 2B,1,0,1,1,NO,BB,NO,Lập trình
MTH00083,Thực hành Đại số tuyến tính,1,0,1,1,BB,BB,"110101, 110102, 110103, 110104, 110205, 110206, 110207, 110208, 110309, 110310, 110311",Lập trình
MTH00084,Thực hành Đại số đại cương,1,0,1,1,BB,NO,"110101, 110102, 110103, 110104, 110205, 110206, 110207, 110208, 110309, 110310, 110311",Lập trình
MTH00085,Thực hành Xác suất thống kê,1,0,1,1,NO,BB,NO,Lập trình
MTH00086,Thực hành Toán rời rạc,1,0,1,1,NO,BB,NO,Lập trình
MTH00087,Thực hành Phần mềm tính toán,2,0,2,1,BB,NO,"110101, 110102, 110103, 110104, 110205, 110206, 110207, 110208, 110309, 110310, 110311",Lập trình
MTH10107,Kỹ thuật lập trình,4,3,1,2,NO,BB,NO,Lập trình
MTH10312,Cơ sở dữ liệu,4,3,1,2,NO,BB,NO,Lập trình
MTH10405,Cấu trúc dữ liệu và giải thuật,4,3,1,2,TC,BB,"110309, 110310, 110310",Lập trình
MTH10407,Lập trình hướng đối tượng,4,3,1,2,TC,BB,"110309, 110310, 110310",Lập trình
MTH10308,Phát triển phần mềm hướng đối tượng,4,3,1,3,TC,NO,NO,Lập trình
MTH10309,Quản trị hệ thống mạng,4,3,1,3,TC,NO,NO,Lập trình
MTH10312,Cơ sở dữ liệu,4,3,1,3,TC,NO,NO,Lập trình
MTH10313,Hệ điều hành Unix,4,3,1,3,TC,NO,NO,Lập trình
MTH10317,Phân tích xử lý ảnh,4,3,1,3,TC,NO,NO,Lập trình
