course_id,course_name
BAA00003,Tư tưởng Hồ Chí Minh
BAA00004,Pháp luật đại cương
BAA00005,Kinh tế đại cương
BAA00006,Tâm lý đại cương
BAA00008,Kỹ năng làm việc nhóm và học tập
BAA00011,Anh văn 1
BAA00012,Anh văn 2
BAA00013,Anh văn 3
BAA00014,Anh văn 4
BAA00021,Thể dục 1
BAA00022,Thể dục 2
BAA00030,Giáo dục quốc phòng - An ninh
BAA00101,Triết học Mác-Lênin
BAA00102,Kinh tế Chính trị Mác-Lênin
BAA00103,Chủ nghĩa Xã hội khoa học
BAA00104,Lịch sử Đảng Cộng sản Việt Nam
BIO00001,Sinh đại cương 1
BIO00002,Thực tập Sinh đại cương 1
BIO00081,Sinh đại cương 2
BIO00082,Thực tập Sinh đại cương 2
CHE00001,Hóa đại cương 1
CHE00002,Thực hành Hóa đại cương 1
CHE00081,Hóa đại cương 2
CHE00082,Thực hành Hóa đại cương 2
CSC00003,Tin học cơ sở
CSC00004,Nhập môn Công nghệ Thông tin
ENV00002,Môi trường đại cương
ENV00003,Con người và môi trường
GEO00001,Khoa học Trái đất
MTH00003,Vi tích phân 1B
MTH00004,Vi tích phân 2B
MTH00010,Giải tích 1A
MTH00011,Vi tích phân 1A
MTH00012,Giải tích 2A
MTH00013,Vi tích phân 2A
MTH00014,Giải tích 3A
MTH00015,Giải tích 4A
MTH00030,Đại số tuyến tính
MTH00031,Đại số đại cương
MTH00040,Xác suất thống kê
MTH00041,Toán rời rạc
MTH00050,Toán học tổ hợp
MTH00055,Cơ sở lập trình
CSC10001,Nhập môn lập trình
MTH00081,Thực hành Vi tích phân 1B
MTH00082,Thực hành Vi tích phân 2B
MTH00083,Thực hành Đại số tuyến tính
MTH00084,Thực hành Đại số đại cương
MTH00085,Thực hành Xác suất thống kê
MTH00086,Thực hành Toán rời rạc
MTH00087,Thực hành Phần mềm tính toán
PHY00001,Vật l‎‎ý đại cương 1 (Cơ - Nhiệt)
PHY00002,Vật l‎‎ý đại cương 2 (Điện từ - Quang)
PHY00081,Thực hành Vật l‎‎ý đại cương
MTH10442,Toán rời rạc 2A
MTH10107,Kỹ thuật lập trình
MTH10171,Nhập môn Khoa học dữ liệu
MTH10311,Mạng máy tính
MTH10312,Cơ sở dữ liệu
MTH10401,Lý thuyết độ đo và xác suất
MTH10402,Đại số 2A
MTH10403,Giải tích hàm
MTH10404,Lý thuyết thống kê
MTH10405,Cấu trúc dữ liệu và giải thuật
MTH10406,Toán rời rạc
MTH10407,Lập trình hướng đối tượng
MTH10101,Tâm lý học sư phạm
MTH10102,Phương pháp dạy học tối ưu
MTH10103,Chất lượng và quản lý chất lượng
MTH10104,Giáo dục học
MTH10105,Lý luận dạy học
MTH10106,Số học và logic toán học
MTH10110,Phương pháp giảng dạy toán 1
MTH10111,Phương pháp giảng dạy toán 2
MTH10112,Thực tập sư phạm toán
MTH10119,Toán bằng tiếng Anh 1
MTH10120,Toán bằng tiếng Anh 2
MTH10121,Đại số sơ cấp
MTH10122,HÌnh học sơ cấp
MTH10123,Ứng dụng toán cao cấp để giải toán sơ cấp
MTH10124,Tổ chức và quản lý lớp học
MTH10125,Kỹ thuật đánh giá lớp học
MTH10126,Seminar Sư phạm
MTH10201,Toán tài chính căn bản
MTH10202,Dự báo
MTH10203,Mô hình toán tài chính
MTH10204,Lý thuyết tài chính tiền tệ
MTH10209,Toán tài chính nâng cao
MTH10214,Vi mô định lượng
MTH10215,Vĩ mô định lượng
MTH10216,Quản trị rủi ro
MTH10217,Tài chính doanh nghiệp
MTH10218,Seminar toán tài chính
MTH10219,Phân tích tài chính
MTH10220,Toán bảo hiểm cơ bản
MTH10221,Toán bảo hiểm nâng cao
MTH10308,Phát triển phần mềm hướng đối tượng
MTH10309,Quản trị hệ thống mạng
MTH10310,Lập trình .Net
MTH10313,Hệ điều hành Unix
MTH10314,Quản lý đề án phần mềm
MTH10315,Phân tích và thiết kế hệ thống thông tin
MTH10316,Lập trình Java
MTH10317,Phân tích xử lý ảnh
MTH10318,Nhập môn trí tuệ nhân tạo
MTH10319,Lý thuyết mã hóa thông tin 
MTH10320,Xử lý tín hiệu số
MTH10321,Tính toán hiệu năng
MTH10322,Nhận dạng mẫu
MTH10323,Xử lý đa chiều
MTH10324,Số học và thuật toán
MTH10325,Phân tích thuật toán
MTH10326,Seminar toán tin ứng dụng
MTH10327,Đồ họa máy tính
MTH10331,Biến hình và xử lý ảnh
MTH10332,Kiểm thử phần mềm
MTH10333,Thiết kế Web
MTH10334,Lập trình Web với J2EE
MTH10335,Thiết kế mạng
MTH10336,Kiểm thử phần mềm 2
MTH10337,Lập trình Web với PHP
MTH10338,Chuyên đề J2EE
MTH10340,Nhận dạng và phân tích mẫu
MTH10341,Chuyên đề .NET
MTH10342,Bảo mật mạng không dây cục bộ
MTH10344,Hệ Quản Trị cơ sở dữ liệu 
MTH10345,Lập trình Web ASP.NET
MTH10346,Seminar phương pháp toán
MTH10347,Lý thuyết thông tin
MTH10348,Thị giác máy tính
MTH10352,Tính toán song song
MTH10353,Nhập môn máy học
