school_year,semester,student_id,field_id,subfield_id,major_id,status
2021-2022,HK1,21110001,11,,,DANGHOC
2021-2022,HK1,21110002,11,,,DANGHOC
2021-2022,HK1,21110003,11,,,DANGHOC
2021-2022,HK1,21110004,11,,,DANGHOC
2021-2022,HK1,21110005,11,,,DANGHOC
2021-2022,HK1,21110006,11,,,DANGHOC
2021-2022,HK1,21110007,11,,,DANGHOC
2021-2022,HK1,21110008,11,,,DANGHOC
2021-2022,HK1,21110009,11,,,DANGHOC
2021-2022,HK1,21110010,11,,,DANGHOC
2021-2022,HK1,21110011,11,,,DANGHOC
2021-2022,HK1,21110012,11,,,DANGHOC
2021-2022,HK1,21110013,11,,,DANGHOC
2021-2022,HK1,21110014,11,,,DANGHOC
2021-2022,HK1,21110015,11,,,DANGHOC
2021-2022,HK1,21110016,11,,,DANGHOC
2021-2022,HK1,21110017,11,,,DANGHOC
2021-2022,HK1,21110018,11,,,DANGHOC
2021-2022,HK1,21110019,11,,,DANGHOC
2021-2022,HK1,21110020,11,,,DANGHOC
2021-2022,HK1,21110021,11,,,DANGHOC
2021-2022,HK1,21110022,11,,,DANGHOC
2021-2022,HK1,21110023,11,,,DANGHOC
2021-2022,HK1,21110024,11,,,DANGHOC
2021-2022,HK1,21110025,11,,,DANGHOC
2021-2022,HK1,21110026,11,,,DANGHOC
2021-2022,HK1,21110027,11,,,DANGHOC
2021-2022,HK1,21110028,11,,,DANGHOC
2021-2022,HK1,21110029,11,,,DANGHOC
2021-2022,HK1,21110030,11,,,DANGHOC
2021-2022,HK1,21110031,11,,,DANGHOC
2021-2022,HK1,21110032,11,,,DANGHOC
2021-2022,HK1,21110033,11,,,DANGHOC
2021-2022,HK1,21110034,11,,,DANGHOC
2021-2022,HK1,21110035,11,,,DANGHOC
2021-2022,HK1,21110036,11,,,DANGHOC
2021-2022,HK1,21110037,11,,,DANGHOC
2021-2022,HK1,21110038,11,,,DANGHOC
2021-2022,HK1,21110039,11,,,DANGHOC
2021-2022,HK1,21110040,11,,,DANGHOC
2021-2022,HK1,21110041,11,,,DANGHOC
2021-2022,HK1,21110042,11,,,DANGHOC
2021-2022,HK1,21110043,11,,,DANGHOC
2021-2022,HK1,21110044,11,,,DANGHOC
2021-2022,HK1,21110045,11,,,DANGHOC
2021-2022,HK1,21110046,11,,,DANGHOC
2021-2022,HK1,21110047,11,,,DANGHOC
2021-2022,HK1,21110048,11,,,DANGHOC
2021-2022,HK1,21110049,11,,,DANGHOC
2021-2022,HK1,21110050,11,,,DANGHOC
2021-2022,HK1,21110051,11,,,DANGHOC
2021-2022,HK1,21110052,11,,,DANGHOC
2021-2022,HK1,21110053,11,,,DANGHOC
2021-2022,HK1,21110054,11,,,DANGHOC
2021-2022,HK1,21110055,11,,,DANGHOC
2021-2022,HK1,21110056,11,,,DANGHOC
2021-2022,HK1,21110057,11,,,DANGHOC
2021-2022,HK1,21110058,11,,,DANGHOC
2021-2022,HK1,21110059,11,,,DANGHOC
2021-2022,HK1,21110060,11,,,DANGHOC
2021-2022,HK1,21110061,11,,,DANGHOC
2021-2022,HK1,21110062,11,,,DANGHOC
2021-2022,HK1,21110063,11,,,DANGHOC
2021-2022,HK1,21110064,11,,,DANGHOC
2021-2022,HK1,21110065,11,,,DANGHOC
2021-2022,HK1,21110066,11,,,DANGHOC
2021-2022,HK1,21110067,11,,,DANGHOC
2021-2022,HK1,21110068,11,,,DANGHOC
2021-2022,HK1,21110069,11,,,DANGHOC
2021-2022,HK1,21110070,11,,,DANGHOC
2021-2022,HK1,21110071,11,,,DANGHOC
2021-2022,HK1,21110072,11,,,DANGHOC
2021-2022,HK1,21110073,11,,,DANGHOC
2021-2022,HK1,21110074,11,,,DANGHOC
2021-2022,HK1,21110075,11,,,DANGHOC
2021-2022,HK1,21110076,11,,,DANGHOC
2021-2022,HK1,21110077,11,,,DANGHOC
2021-2022,HK1,21110078,11,,,DANGHOC
2021-2022,HK1,21110079,11,,,DANGHOC
2021-2022,HK1,21110080,11,,,DANGHOC
2021-2022,HK1,21110081,11,,,DANGHOC
2021-2022,HK1,21110082,11,,,DANGHOC
2021-2022,HK1,21110083,11,,,DANGHOC
2021-2022,HK1,21110084,11,,,DANGHOC
2021-2022,HK1,21110085,11,,,DANGHOC
2021-2022,HK1,21110086,11,,,DANGHOC
2021-2022,HK1,21110087,11,,,DANGHOC
2021-2022,HK1,21110088,11,,,DANGHOC
2021-2022,HK1,21110089,11,,,DANGHOC
2021-2022,HK1,21110090,11,,,DANGHOC
2021-2022,HK1,21110091,11,,,DANGHOC
2021-2022,HK1,21110092,11,,,DANGHOC
2021-2022,HK1,21110093,11,,,DANGHOC
2021-2022,HK1,21110094,11,,,DANGHOC
2021-2022,HK1,21110095,11,,,DANGHOC
2021-2022,HK1,21110096,11,,,DANGHOC
2021-2022,HK1,21110097,11,,,DANGHOC
2021-2022,HK1,21110098,11,,,DANGHOC
2021-2022,HK1,21110099,11,,,DANGHOC
2021-2022,HK1,21110100,11,,,DANGHOC
2021-2022,HK1,21110101,11,,,DANGHOC
2021-2022,HK1,21110102,11,,,DANGHOC
2021-2022,HK1,21110103,11,,,DANGHOC
2021-2022,HK1,21110104,11,,,DANGHOC
2021-2022,HK1,21110105,11,,,DANGHOC
2021-2022,HK1,21110106,11,,,DANGHOC
2021-2022,HK1,21110107,11,,,DANGHOC
2021-2022,HK1,21110108,11,,,DANGHOC
2021-2022,HK1,21110109,11,,,DANGHOC
2021-2022,HK1,21110110,11,,,DANGHOC
2021-2022,HK1,21110111,11,,,DANGHOC
2021-2022,HK1,21110112,11,,,DANGHOC
2021-2022,HK1,21110113,11,,,DANGHOC
2021-2022,HK1,21110114,11,,,DANGHOC
2021-2022,HK1,21110115,11,,,DANGHOC
2021-2022,HK1,21110116,11,,,DANGHOC
2021-2022,HK1,21110117,11,,,DANGHOC
2021-2022,HK1,21110118,11,,,DANGHOC
2021-2022,HK1,21110119,11,,,DANGHOC
2021-2022,HK1,21110120,11,,,DANGHOC
2021-2022,HK1,21110121,11,,,DANGHOC
2021-2022,HK1,21110122,11,,,DANGHOC
2021-2022,HK1,21110123,11,,,DANGHOC
2021-2022,HK1,21110124,11,,,DANGHOC
2021-2022,HK1,21110125,11,,,DANGHOC
2021-2022,HK1,21110126,11,,,DANGHOC
2021-2022,HK1,21110127,11,,,DANGHOC
2021-2022,HK1,21110128,11,,,DANGHOC
2021-2022,HK1,21110129,11,,,DANGHOC
2021-2022,HK1,21110130,11,,,DANGHOC
2021-2022,HK1,21110131,11,,,DANGHOC
2021-2022,HK1,21110132,11,,,DANGHOC
2021-2022,HK1,21110133,11,,,DANGHOC
2021-2022,HK1,21110134,11,,,DANGHOC
2021-2022,HK1,21110135,11,,,DANGHOC
2021-2022,HK1,21110136,11,,,DANGHOC
2021-2022,HK1,21110137,11,,,DANGHOC
2021-2022,HK1,21110138,11,,,DANGHOC
2021-2022,HK1,21110139,11,,,DANGHOC
2021-2022,HK1,21110140,11,,,DANGHOC
2021-2022,HK1,21110141,11,,,DANGHOC
2021-2022,HK1,21110142,11,,,DANGHOC
2021-2022,HK1,21110143,11,,,DANGHOC
2021-2022,HK1,21110144,11,,,DANGHOC
2021-2022,HK1,21110145,11,,,DANGHOC
2021-2022,HK1,21110146,11,,,DANGHOC
2021-2022,HK1,21110147,11,,,DANGHOC
2021-2022,HK1,21110148,11,,,DANGHOC
2021-2022,HK1,21110149,11,,,DANGHOC
2021-2022,HK1,21110150,11,,,DANGHOC
2021-2022,HK1,21110151,11,,,DANGHOC
2021-2022,HK1,21110152,11,,,DANGHOC
2021-2022,HK1,21110153,11,,,DANGHOC
2021-2022,HK1,21110154,11,,,DANGHOC
2021-2022,HK1,21110155,11,,,DANGHOC
2021-2022,HK1,21110156,11,,,DANGHOC
2021-2022,HK1,21110157,11,,,DANGHOC
2021-2022,HK1,21110158,11,,,DANGHOC
2021-2022,HK1,21110159,11,,,DANGHOC
2021-2022,HK1,21110160,11,,,DANGHOC
2021-2022,HK1,21110161,11,,,DANGHOC
2021-2022,HK1,21110162,11,,,DANGHOC
2021-2022,HK1,21110163,11,,,DANGHOC
2021-2022,HK1,21110164,11,,,DANGHOC
2021-2022,HK1,21110165,11,,,DANGHOC
2021-2022,HK1,21110166,11,,,DANGHOC
2021-2022,HK1,21110167,11,,,DANGHOC
2021-2022,HK1,21110168,11,,,DANGHOC
2021-2022,HK1,21110169,11,,,DANGHOC
2021-2022,HK1,21110170,11,,,DANGHOC
2021-2022,HK1,21110171,11,,,DANGHOC
2021-2022,HK1,21110172,11,,,DANGHOC
2021-2022,HK1,21110173,11,,,DANGHOC
2021-2022,HK1,21110174,11,,,DANGHOC
2021-2022,HK1,21110175,11,,,DANGHOC
2021-2022,HK1,21110176,11,,,DANGHOC
2021-2022,HK1,21110177,11,,,DANGHOC
2021-2022,HK1,21110178,11,,,DANGHOC
2021-2022,HK1,21110179,11,,,DANGHOC
2021-2022,HK1,21110180,11,,,DANGHOC
2021-2022,HK1,21110181,11,,,DANGHOC
2021-2022,HK1,21110182,11,,,DANGHOC
2021-2022,HK1,21110183,11,,,DANGHOC
2021-2022,HK1,21110184,11,,,DANGHOC
2021-2022,HK1,21110185,11,,,DANGHOC
2021-2022,HK1,21110186,11,,,DANGHOC
2021-2022,HK1,21110187,11,,,DANGHOC
2021-2022,HK1,21110188,11,,,DANGHOC
2021-2022,HK1,21110189,11,,,DANGHOC
2021-2022,HK1,21110190,11,,,DANGHOC
2021-2022,HK1,21110191,11,,,DANGHOC
2021-2022,HK1,21110192,11,,,DANGHOC
2021-2022,HK1,21110193,11,,,DANGHOC
2021-2022,HK1,21110194,11,,,DANGHOC
2021-2022,HK1,21110195,11,,,DANGHOC
2021-2022,HK1,21110196,11,,,DANGHOC
2021-2022,HK1,21110197,11,,,DANGHOC
2021-2022,HK1,21110198,11,,,DANGHOC
2021-2022,HK1,21110199,11,,,DANGHOC
2021-2022,HK1,21110200,11,,,DANGHOC
2021-2022,HK1,21110201,11,,,DANGHOC
2021-2022,HK1,21110202,11,,,DANGHOC
2021-2022,HK1,21110203,11,,,DANGHOC
2021-2022,HK1,21110204,11,,,DANGHOC
2021-2022,HK1,21110205,11,,,DANGHOC
2021-2022,HK1,21110206,11,,,DANGHOC
2021-2022,HK1,21110207,11,,,DANGHOC
2021-2022,HK1,21110208,11,,,DANGHOC
2021-2022,HK1,21110209,11,,,DANGHOC
2021-2022,HK1,21110210,11,,,DANGHOC
2021-2022,HK1,21280005,28,,,DANGHOC
2021-2022,HK1,21280006,28,,,DANGHOC
2021-2022,HK1,21280007,28,,,DANGHOC
2021-2022,HK1,21280008,28,,,DANGHOC
2021-2022,HK1,21280009,28,,,DANGHOC
2021-2022,HK1,21280010,28,,,DANGHOC
2021-2022,HK1,21280011,28,,,DANGHOC
