school_year,semester,course_id,student_id,final_score
2023-2024,HK1,MTH10318,21280005,5
2023-2024,HK1,MTH10318,21280006,7.75
2023-2024,HK1,MTH10318,21280007,5.25
2023-2024,HK1,MTH10318,21280008,6.75
2023-2024,HK1,MTH10318,21280009,8.25
2023-2024,HK1,MTH10318,21280010,6
2023-2024,HK1,MTH10318,21280011,5.5
2023-2024,HK1,MTH10318,21280012,7.75
2023-2024,HK1,MTH10318,21280013,7.75
2023-2024,HK1,MTH10318,21280014,5
2023-2024,HK1,MTH10318,21280015,6.25
2023-2024,HK1,MTH10318,21280016,6.5
2023-2024,HK1,MTH10318,21280017,8.75
2023-2024,HK1,MTH10318,21280018,8.25
2023-2024,HK1,MTH10318,21280019,7.5
2023-2024,HK1,MTH10318,21280020,5.75
2023-2024,HK1,MTH10318,21280021,8.75
2023-2024,HK1,MTH10318,21280022,9
2023-2024,HK1,MTH10318,21280023,5.25
2023-2024,HK1,MTH10318,21280024,6
2023-2024,HK1,MTH10318,21280025,6.75
2023-2024,HK1,MTH10318,21280026,7
2023-2024,HK1,MTH10318,21280027,7.5
2023-2024,HK1,MTH10318,21280028,5
2023-2024,HK1,MTH10318,21280029,8.75
2023-2024,HK1,MTH10318,21280030,6.75
2023-2024,HK1,MTH10318,21280031,7.75
2023-2024,HK1,MTH10318,21280032,5.25
2023-2024,HK1,MTH10318,21280033,5.25
2023-2024,HK1,MTH10318,21280034,5
2023-2024,HK1,MTH10318,21280035,9
2023-2024,HK1,MTH10318,21280036,8.75
2023-2024,HK1,MTH10318,21280037,6
2023-2024,HK1,MTH10318,21280038,5.25
2023-2024,HK1,MTH10318,21280039,8.75
2023-2024,HK1,MTH10318,21280040,8
2023-2024,HK1,MTH10318,21280041,7.25
2023-2024,HK1,MTH10318,21280042,8.75
2023-2024,HK1,MTH10318,21280043,5.75
2023-2024,HK1,MTH10318,21280044,5.5
2023-2024,HK1,MTH10318,21280045,8.5
2023-2024,HK1,MTH10318,21280046,6.75
2023-2024,HK1,MTH10318,21280047,8.25
2023-2024,HK1,MTH10318,21280048,7.25
2023-2024,HK1,MTH10318,21280049,6.25
2023-2024,HK1,MTH10318,21280050,8.5
2023-2024,HK1,MTH10318,21280051,8.25
2023-2024,HK1,MTH10318,21280052,6
2023-2024,HK1,MTH10318,21280053,9
2023-2024,HK1,MTH10318,21280054,7.75
2023-2024,HK1,MTH10318,21280055,7
2023-2024,HK1,MTH10318,21280057,7
